gene	log2FoldChange	pvalue
MYO9B	-0.144520497	0.010785088
DHX15	-0.105953937	0.01086287
SEC61G	0.280541805	0.010926877
PPP6R3	-0.181359487	0.010997131
SPCS1	0.284614044	0.011451746
RPL35A	-0.230086933	0.011593459
GOSR2	0.638933552	0.012133696
TRMT11	-0.30451449	0.012173404
UMPS	0.200791166	0.01224093
KDM5C;KDM5D	-0.772342379	0.012309345
SUN1	-0.522239208	0.012348586
PPID	0.2819614	0.012458768
GLRX5	0.290003963	0.01297084
AKAP12	-0.363329631	0.012999561
GSTT2B;GSTT2	0.317131498	0.013483971
COX20	0.372480014	0.013562465
EIF2B4	0.273313248	0.013544031
SDHC	0.427563853	0.013714681
ABLIM3	0.564942662	0.013793168
AP3M1	0.172042878	0.013774287
NDUFS6	-0.290022233	0.013909795
EIF2S2	-0.17184547	0.014313763
MDH1	0.110495891	0.014491213
MRPS11	-0.271247165	0.014879378
ZC3H15	-0.232644246	0.015434413
MSRA	0.382092059	0.015690222
SSR1	0.267848124	0.015832948
BLVRB	0.340112369	0.016030192
MKI67	-0.307210752	0.017349245
KIF20A	-0.534828176	0.017437189
MPI	0.651434007	0.018219604
KIF23	-0.401718034	0.018226293
DCTN5	0.58786871	0.018457188
CPD	0.559693028	0.018428425
RWDD1	0.598248482	0.018502321
WDR55	-0.487784188	0.018755321
GLIPR2	0.427068753	0.019117651
PNP	0.403798639	0.018925447
TAGLN2	0.295673803	0.018852078
COMMD2	0.234397752	0.018933328
NUCB1	0.175817921	0.019082208
RTN3	-0.257787704	0.019119068
RPS25	-0.286518199	0.018955692
NME4	-0.551299767	0.019092279
MYO10	0.398279746	0.019170584
CISD2	0.384967363	0.019218062
MRPL1	-0.171724719	0.019516603
PAFAH1B3	0.164938532	0.019616398
PRC1	-0.457640371	0.019637683
SACS	-0.36654571	0.020398345
OTUD6B	0.316102318	0.0204481
ALDH4A1	0.119730738	0.020883826
FLNA	-0.11339155	0.020897809
NCLN	0.113917877	0.021036114
LGMN	0.427368539	0.021286208
MAN1A2	0.251689103	0.021321649
NAP1L4	-0.219655407	0.021352512
ATP6V0D2	-0.45896601	0.021255241
EHBP1	-0.604780079	0.021243995
THEM6	-0.439014218	0.021524696
ITSN1	-0.369963784	0.021660428
KIAA0101	-0.940223025	0.021935909
GNB2L1	0.075356244	0.022069225
WDR75	-0.476471022	0.02266776
MRPL43	0.731969901	0.022807745
MED25	0.385844882	0.023493678
RAD21	-0.313496563	0.023934342
DNAJC11	0.508650528	0.024040893
GOLGA1	0.531652312	0.024670181
SEMA4B	-0.399263619	0.024763635
GID8	0.399291457	0.024918356
COPS4	0.22910292	0.024936538
VASP	-0.287949539	0.024860042
EXT2	-0.522331467	0.025525493
ACSL3	0.268018329	0.025670066
SUB1	0.111552922	0.025832731
PPOX	0.422717431	0.026010895
BCAP31	0.415834712	0.026461508
AGK	0.178978551	0.026744308
IPO9	-0.274718304	0.026788358
ANAPC7	-0.346395734	0.026761708
EIF2AK4	0.746479353	0.02698908
PPP4R1	0.105220622	0.026953763
BAG2	-0.269772381	0.027045777
CAMK2G	0.295454531	0.027299007
PSMB5	0.232778542	0.027411714
CMTR2	0.370589482	0.028080451
CYB5B	0.275680244	0.02840371
CEP55	-0.636594331	0.028439382
TXNDC17	0.26890933	0.028585128
C9orf41	-0.290416321	0.028587043
RAB2A	0.193497756	0.029059767
MYO19	0.507957682	0.029335532
MRPS36	-0.361254155	0.029409266
TSEN34	-0.730616742	0.029414953
COG7	-0.234079013	0.029634831
EARS2	0.417720456	0.029797292
GABARAP;GABARAPL1;GABARAPL2	-0.530526072	0.029993055
DCUN1D1	0.467379817	0.030193015
FAM111A	-0.2293955	0.030351012
NSUN2	-0.171071726	0.030679373
UNC45A	0.179571127	0.031322325
KIF21B	-0.368722484	0.031605379
MVB12A	0.762918863	0.031880023
CNOT10	0.51633239	0.032403452
RPA3	-0.20809258	0.032499323
RBM4	-0.233576266	0.032461302
TFRC	-0.235283337	0.032819485
BZW2	0.182318746	0.032953809
DOCK5	0.346235611	0.033387705
WDR36	0.2397665	0.033423249
TCF25	-0.294383091	0.03528949
PROSC	0.243033132	0.035561898
C1orf122	-0.264495311	0.035551042
EML4	-0.054752882	0.036926964
EXOC8	1.132265049	0.037810395
ATL3	0.189024553	0.037764527
RPL29	0.710613062	0.038645308
ULK3	0.650002898	0.038663533
TBC1D23	0.586189891	0.038390291
HECTD1	-0.072050424	0.038696474
TRMT10C	-0.139294766	0.038746241
MACF1	-0.192482559	0.038453261
AASDHPPT	-0.228544489	0.03872143
HPCAL1	-0.30036596	0.038477131
EPHB2	-0.345494647	0.038339323
SACM1L	0.207491001	0.039498474
GLUD1;GLUD2	0.275807986	0.039928189
C16orf13	0.578715926	0.040077605
PISD	-0.425539381	0.040305372
PPIE	-0.261298368	0.040596482
ITPR3	-0.342338256	0.040874702
ICMT	0.678447769	0.041171554
MYL9	-0.33753166	0.042090534
GIT2	0.321078768	0.043107922
HIBCH	0.307591302	0.043064895
TFAM	-0.317563855	0.042950533
MYDGF	0.263641595	0.043276883
CHM	-0.31454266	0.043296211
SEL1L	0.30896049	0.043460012
STK38	0.278706451	0.04426102
ARHGEF10	-0.202422531	0.044361989
GFM2	0.448413139	0.044902509
RAB5A	0.218688612	0.04510032
NEK9	-0.301710243	0.045201929
MT1E	-0.676793688	0.045405799
RTCA	0.282690619	0.045961474
KIFAP3	-0.491670843	0.046451654
MKRN2	-0.551591777	0.046651611
PRIM1	-0.596936302	0.047682696
CD9	-0.779154341	0.047626762
RPL9	0.093805387	0.047882292
FOSL1	-0.410642336	0.048375722
RTF1	-0.614002482	0.048590561
RACGAP1	-0.476587951	0.04899924
GINS1	-0.824413717	0.04915497
APPL1	-0.131286836	0.049953249
GREM1	0.630687739	0.050682433
TNFAIP8	-0.546568683	0.05078588
PAF1	-0.272906673	0.050893641
OLA1	0.162901146	0.05129192
KDELC2	0.237988897	0.0519177
SLC25A11	0.456565644	0.052462633
PTPN9	0.446848397	0.0528068
TRIP13	-0.245526744	0.052938359
TPM4	-0.260711832	0.053117157
SLC39A7	0.251819452	0.053311912
FIS1	0.303394158	0.05354106
ARMC9	0.499712009	0.053681532
RPS27	-0.112699285	0.054219856
TPP1	0.566171117	0.054365426
PSAP	-0.171144116	0.054640993
CD68	0.461673088	0.055406082
COPS5	0.216614131	0.055578396
ARPP19	-0.259532346	0.055378991
SNAPIN	-0.429820036	0.055548232
RAB1B	0.346828294	0.05631719
FAF1	-0.363673892	0.056293943
ALG6	-0.244281348	0.056637998
IKBKAP	-0.104438667	0.056747521
OSBPL9	0.288487441	0.057275826
MTFR1L	0.35526171	0.057407923
UBL7	-0.30145342	0.058435816
PGK1	0.21220322	0.058692912
PLA2G4A	0.713028819	0.05920653
RNF31	0.250115002	0.059474018
GANAB	0.172595576	0.05964312
PELP1	0.155510414	0.059235013
DSG2	-0.152480882	0.059903522
DCAF13	-0.24466323	0.059673762
C2orf47	-0.293114357	0.059913421
MED4	-0.431383594	0.059871951
SYDE1	-0.497101947	0.059377362
KATNAL1	-0.531657132	0.059250253
TSC1	-0.147622742	0.060617611
CAND1	0.173134589	0.061137385
TMED5	0.758305693	0.061815915
NNMT	0.623287525	0.061821985
ATP6V1C1	0.210047964	0.061788594
AP3S1	0.126811417	0.061366205
NUDT19	0.044349654	0.061601512
ALDH1B1	-0.226320666	0.061904078
GMDS	-0.31513327	0.061649595
PHF6	-0.286436684	0.062274402
MT-ATP8	0.314325728	0.063511318
PRPF4	-0.286527232	0.064244019
EPHX1	-0.345436423	0.064349114
OXA1L	-0.316267206	0.064630934
ELP3	-0.251458067	0.06477399
EDC3	-0.29534763	0.064927245
UBE2A	-0.214003402	0.065161562
MTR	-0.47883638	0.065329507
DUSP3	-0.324023415	0.065452255
FARP1	-0.456235915	0.065588855
SRGAP1	0.740098679	0.06670963
PCYT2	0.487814193	0.066535295
SAMD4B	0.207077246	0.066320176
NUP88	-0.225744116	0.066676746
EXOG	-0.341371943	0.066491655
TP53I3	0.55044926	0.067147171
PRPSAP2	0.624248316	0.067562836
UBP1	0.329135476	0.068077852
SH3GLB2	0.062044505	0.068261708
MRPL46	-0.448790274	0.068475787
RANBP1	-0.211455501	0.068662648
DHRSX	1.054930883	0.068864157
CLINT1	-0.152917751	0.069329191
FOXK1	0.253045804	0.069631904
MTMR9	-0.219288073	0.07001612
INTS6	0.49271068	0.070537636
XPOT	0.285722077	0.070663116
FAM213A	-0.566437004	0.07062947
FAM157A;FAM157B;FAM157C	-0.122022209	0.07105689
ELAVL1	-0.224018772	0.071071294
NDRG1	-0.405326431	0.070928465
HAT1	-0.20333705	0.071469396
SDSL	0.803579423	0.071848166
NUFIP2	-0.211778476	0.071775665
TRUB1	0.338238001	0.07243641
TBRG4	0.250550208	0.072858073
TUBB6	-0.213461707	0.072876302
AMFR	-0.570255214	0.072691958
HAX1	0.450789293	0.07306238
RPL19	0.257729501	0.073562207
USP14	0.16830993	0.073531653
PCBD1	0.347389065	0.07385298
PRKAG1	0.495712148	0.073990262
NSDHL	0.267706484	0.074323523
CHCHD3	-0.274072902	0.07425973
MYO1B	-0.30953138	0.074193724
RHOT1	0.472030143	0.074921418
STK26	0.361898091	0.074683489
DERL2;DERL3	0.335387682	0.074855486
PCYOX1	0.320267062	0.07511478
SCYL1	0.268545685	0.074671026
MGST3	0.169525845	0.074779717
OGDH	0.144752125	0.075147037
NAA10	0.466424376	0.075871421
DKC1	-0.235818516	0.075888412
TOLLIP	0.308054962	0.076660534
VPS33B	0.248010564	0.07672931
GRPEL1	-0.252275035	0.077711731
TIMM9	0.175032994	0.0779338
FAM83D	-0.477596754	0.078630139
UBE4A	0.376687598	0.078881167
PFKL	0.183735396	0.07912401
DNAJA2	-0.197804499	0.079174151
DNAH14	-0.542971886	0.079176826
NIT1	0.240168064	0.079959627
PAFAH1B1	0.220093471	0.080490945
RPL26L1	0.45429789	0.080893002
PTEN	0.505465252	0.081578137
ATP5C1	0.189309695	0.08167533
FXR2	-0.249291878	0.081502944
UQCR10	0.33385821	0.082024093
TMED4	0.274644492	0.082232815
C19orf43	-0.514992942	0.082410387
XPO1	0.169617263	0.083583214
NAA25	-0.181381718	0.083490343
ARL6IP1	-0.394473735	0.083635214
MAP7D3	-0.287046275	0.084119652
VKORC1L1	0.786124218	0.08446023
EHD2	0.210949551	0.084329416
OSBP	0.13204981	0.084936543
GNA11	-0.204350102	0.084920004
NTPCR	-0.220512211	0.08462113
PI4K2B	-0.460449302	0.084850702
NAGK	0.204209117	0.085225724
MFN2	-0.344530192	0.085227131
OSTF1	0.262116881	0.085775296
ATP5L	0.233412096	0.085940384
SRP72	0.146418163	0.085911689
PSMD6	-0.117947722	0.086006114
KIAA1522	-0.306909125	0.086168342
HK2	0.393274968	0.086459303
BNIP1	-0.345293469	0.086821561
ADD1	0.146703178	0.087506192
EIF3C;EIF3CL	-0.104447283	0.087755111
TPX2	-0.269489816	0.087848457
PRNP	-0.277864052	0.087817466
ATAD1	0.320216886	0.08857004
PSMD1	0.123460738	0.089605023
GPD2	-0.111164568	0.089534508
RBM15	-0.128077635	0.089525326
FTO	-0.206779098	0.089537647
ATAD3A	-0.261464134	0.089271234
SMEK1	-0.544932273	0.089598347
DHRS4;DHRS4L2	0.359800897	0.090194418
ARF1;ARF3	0.308690075	0.090148136
CRYAB	-1.300275385	0.090252408
RB1	-0.598218505	0.090472434
MICAL1	-1.019420473	0.09075427
RPL24	0.271583316	0.090906572
HYPK	0.439274504	0.091814782
SHCBP1	-0.70951342	0.091852809
SNX9	0.143522101	0.09225677
SETDB1	-0.42736443	0.09221099
FABP5	0.098642772	0.092837798
MP68	0.90374378	0.093619613
PPP6R1	-0.165170693	0.093493851
PPP1R11	-0.186870006	0.093503969
MYH9	-0.134504448	0.094230568
MTCL1	-0.322743465	0.094214993
ETF1	0.160855606	0.094579246
PSMD13	0.148540885	0.094901112
CHID1	0.790139934	0.095288118
PAPOLA	0.407443286	0.095547843
CEBPZ	-0.135122843	0.095731608
CROCC	-0.74890157	0.096045642
FRYL	0.32635532	0.096502065
AP1M1	0.155541801	0.096705414
CCDC6	-0.157701342	0.096625946
PARVA	-0.170323435	0.096661709
RPUSD2	0.544456283	0.097244422
RAD23B	-0.138736879	0.097515526
CNPY3	-0.413672886	0.09690206
TSG101	-0.429979789	0.097360692
GRB10	-0.698146635	0.097411444
ZC3H13	-0.77182985	0.097526045
PRKD2	0.477905902	0.097885481
ATRX	-0.254781187	0.098247154
SS18	0.41977432	0.098515151
NAA50	-0.26222961	0.098843009
AXL	-0.276680899	0.099378731
GCDH	0.880692401	0.099713044
VPS41	0.309640804	0.099606189
B3GALTL	-0.583486282	0.09981859
EGLN1	-0.351911848	0.100270923
PIK3C3	0.607786056	0.10068383
ICT1	0.200615654	0.100754324
TMEM201	-0.426045375	0.10079125
OSBPL8	0.12389703	0.101356932
MT2A;MT1X;MT1G;MT1M	-0.440503869	0.101248792
MED23	0.218598685	0.101527895
NPEPL1	0.689616863	0.10233656
