ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0061014	positive regulation of mRNA catabolic process	64/4813	127/18614	2.60E-09	7.24E+00	4.22E-08	ZFP36L1/CNOT4/DCP1B/EXOSC5/ROCK1/CNOT10/SAMD4B/FTO/ROCK2/IGF2BP1/DIS3/PNPT1/EXOSC2/RC3H2/NT5C3B/EXOSC8/POLR2G/LSM1/EXOSC7/CNOT7/MEX3D/CNOT2/PUM1/DIS3L2/YTHDF3/HNRNPD/DHX36/ZFP36L2/TNKS1BP1/MOV10/AGO2/CSDE1/PARN/POLR2D/METTL14/GIGYF2/SYNCRIP/TARDBP/DCP1A/ZC3HAV1/UPF1/PDE12/GTPBP1/DCPS/CNOT1/CNOT3/METTL3/PAIP1/YBX1/HNRNPU/DHX9/TNRC6B/KHSRP/YTHDF2/PATL1/CELF1/CNOT11/EXOSC3/MLH1/YTHDF1/EIF4ENIF1/EXOSC9/SAMD4A/PAN2	64
BP	GO:0030433	ubiquitin-dependent ERAD pathway	47/4813	83/18614	2.61E-09	7.24E+00	4.22E-08	DNAJB2/ERLEC1/BCAP31/SEL1L/FAF1/AMFR/USP14/UBE4A/STUB1/USP19/ERLIN2/DNAJC10/UBQLN2/VCP/FAF2/STT3B/TRIM25/ERLIN1/UBE2G2/BAG6/CLGN/DERL1/CANX/UBE4B/CALR/PSMC6/UBE2J1/HSP90B1/SGTA/WFS1/MAN1B1/HSPA5/SEC61B/UBQLN1/NPLOC4/AUP1/TMUB2/CAV1/CCDC47/SYVN1/OS9/UBXN4/TMUB1/MAN1A1/EDEM3/SVIP/RHBDD2	47
BP	GO:0043162	ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	27/4813	37/18614	2.64E-09	7.23E+00	4.25E-08	UBAP1/VPS25/MVB12A/TSG101/CHMP5/VPS28/SNF8/HDAC6/CHMP6/CHMP7/STAM2/CHMP2B/NEDD4/CHMP4B/STAM/HGS/VPS4B/CHMP1A/PTPN23/VPS37A/CHMP4A/PLAA/VPS4A/RNF126/TOM1L1/CHMP2A/CHMP3	27
BP	GO:0036258	multivesicular body assembly	24/4813	31/18614	2.76E-09	7.22E+00	4.42E-08	UBAP1/VPS25/MVB12A/TSG101/CHMP5/VPS28/IST1/SNF8/CHMP6/CHMP7/STAM2/CHMP2B/CHMP4B/STAM/HGS/VPS4B/CHMP1A/PDCD6IP/VTA1/VPS37A/CHMP4A/VPS4A/CHMP2A/CHMP3	24
BP	GO:0099022	vesicle tethering	24/4813	31/18614	2.76E-09	7.22E+00	4.42E-08	EXOC6B/EXOC8/TBC1D23/TRAPPC5/EXOC4/TRAPPC3/STARD3/TRAPPC12/TRAPPC11/TRAPPC8/FAM91A1/TRIP11/EXOC3/EXOC2/EXOC7/EXOC1/EXOC5/WDR11/TRAPPC1/TRAPPC4/TRAPPC13/STARD3NL/TRAPPC10/C17orf75	24
BP	GO:0007035	vacuolar acidification	25/4813	33/18614	2.82E-09	7.21E+00	4.48E-08	TMEM199/TMEM9/ATP6V0D2/SNAPIN/ATP6V0C/CLN3/TMEM106B/ATP6AP2/ATP6V0A2/ATP6V1F/ATP6V0D1/ATP6AP1/ATP6V1D/CLN6/ATP6V1A/PPT1/ATP6V1B2/CLN5/ATP6V1H/CLIC4/ATP6V0A1/GRN/CCDC115/DMXL2/DMXL1	25
BP	GO:0006261	DNA-templated DNA replication	76/4813	160/18614	2.82E-09	7.21E+00	4.48E-08	POLE4/ZMPSTE24/FAM111A/PRIM1/GINS1/ATRX/CHTF18/SAMHD1/RFC2/HMGA1/WDHD1/CDK2/PURA/NOC3L/POLRMT/CDC34/LIG1/LIG3/RFC4/TERF2/NBN/NUCKS1/ZPR1/CARM1/POLA1/MGME1/GINS4/RECQL/RFC5/CDK9/PCNA/POLD1/DNAJA3/POLA2/ORC3/THOC1/SSBP1/UPF1/MCM2/POLE3/PNKP/RFC1/WDR18/POLD2/MCM5/LRWD1/RAD50/POLD3/BAZ1A/ALYREF/FEN1/MCM6/PARP1/RPA1/MCM7/RRM1/MCMBP/MCM4/ORC5/GINS3/TONSL/POLB/BOD1L1/RFC3/MCM3/SMARCAL1/WRN/ATR/PRIM2/GINS2/KAT7/WIZ/POLE2/ORC4/MMS22L/RAD51	76
BP	GO:0051985	negative regulation of chromosome segregation	33/4813	50/18614	2.87E-09	7.21E+00	4.51E-08	SPDL1/CDC20/ANAPC15/CCNB1/BUB3/RAD21/TRIP13/ZWILCH/NUF2/AURKB/KLHL22/MAD1L1/PCID2/PSMG2/KNTC1/ZNF207/LCMT1/ZW10/DYNC1LI1/ATM/INCENP/SPC24/SPC25/BUB1B/TPR/IK/PLK1/MAD2L1/NDC80/BIRC5/CDCA8/CENPF/ZWINT	33
BP	GO:1902100	negative regulation of metaphase/anaphase transition of cell cycle	33/4813	50/18614	2.87E-09	7.21E+00	4.51E-08	SPDL1/CDC20/ANAPC15/CCNB1/BUB3/RAD21/TRIP13/ZWILCH/NUF2/AURKB/KLHL22/MAD1L1/PCID2/PSMG2/KNTC1/ZNF207/LCMT1/ZW10/DYNC1LI1/ATM/INCENP/SPC24/SPC25/BUB1B/TPR/IK/PLK1/MAD2L1/NDC80/BIRC5/CDCA8/CENPF/ZWINT	33
BP	GO:1905819	negative regulation of chromosome separation	33/4813	50/18614	2.87E-09	7.21E+00	4.51E-08	SPDL1/CDC20/ANAPC15/CCNB1/BUB3/RAD21/TRIP13/ZWILCH/NUF2/AURKB/KLHL22/MAD1L1/PCID2/PSMG2/KNTC1/ZNF207/LCMT1/ZW10/DYNC1LI1/ATM/INCENP/SPC24/SPC25/BUB1B/TPR/IK/PLK1/MAD2L1/NDC80/BIRC5/CDCA8/CENPF/ZWINT	33
BP	GO:0007044	cell-substrate junction assembly	52/4813	96/18614	3.19E-09	7.16E+00	5.00E-08	PHLDB2/ACTG1/ROCK1/MACF1/GREM1/TSC1/DUSP3/PTEN/DAPK3/ROCK2/CTTN/TLN1/ACTN1/TAOK2/FERMT2/MMP14/CLASP2/SFRP1/PTK2/SDC4/FN1/THBS1/S100A10/CLASP1/SRC/SLK/NRP1/ARHGEF7/SMAD3/PPM1F/POLDIP2/LIMS1/CORO1C/CORO2B/RHOA/PTPRK/MAP4K4/PLEC/ITGA5/DST/PTPRJ/LIMCH1/LAMC1/VCL/THY1/PIP5K1A/BCR/TRIP6/ITGA2/RCC2/ITGA6/SLC9A1	52
BP	GO:0072665	protein localization to vacuole	46/4813	81/18614	3.39E-09	7.14E+00	5.29E-08	LAMTOR4/UBAP1/VPS25/CD81/AP3M1/MVB12A/TSG101/VPS41/PIK3C3/ROCK2/VPS28/PXK/AP3D1/LAMTOR5/SNF8/GNPTG/VPS13A/STAM2/VPS53/LAMP2/NEDD4/PIK3R4/STAM/ZFYVE16/HGS/SCARB2/SH3GLB1/AP3B1/HSPA8/PTPN23/RTN4/SH3BP4/VPS37A/RAB7A/VPS4A/M6PR/GBP1/SORT1/VPS13C/GCC2/VPS13D/LMBRD1/VPS54/GLMP/BECN1/SNX16	46
BP	GO:0009206	purine ribonucleoside triphosphate biosynthetic process	60/4813	117/18614	3.42E-09	7.13E+00	5.33E-08	TGFB1/DGUOK/PRKAG2/NDUFS5/NDUFB4/SDHC/NDUFS6/NME4/ATP6V0C/NDUFC2/IMPDH1/SLC25A13/SDHA/NDUFV2/NDUFA8/NME3/AK4/NME2P1/NDUFC1/NME1/NDUFS8/NDUFV3/SLC25A12/NME7/NDUFB1/NDUFA12/TMSB4X/NDUFS7/NDUFB10/VCP/NDUFS1/NDUFB5/NDUFS3/NDUFB9/ATP6V1A/NDUFAB1/NUDT2/NDUFA13/NDUFA10/IMPDH2/NDUFA5/NDUFS2/NDUFA9/NDUFA3/ALDOA/NDUFB11/STOML2/NDUFB8/SDHB/ENO1/NME2/NDUFA6/NDUFV1/NDUFB7/PARP1/NDUFA7/NDUFS4/NDUFA2/NDUFB6/NDUFA1	60
BP	GO:0046939	nucleotide phosphorylation	55/4813	104/18614	3.61E-09	7.11E+00	5.60E-08	HIF1A/SLC4A4/PRKAG2/PKM/NME4/PGK1/FOXK1/PRKAG1/OGDH/PFKL/HK2/PGAM1/MLST8/PRKAA1/ENO2/TIGAR/NME3/AK4/FOXK2/ZBTB7A/NME2P1/PGM1/TREX1/NME1/GIT1/NME7/GALK1/ADPGK/LDHA/ALDOC/GPI/MTOR/HK1/PFKP/NT5C2/GAPDH/PFKM/ALDOA/TPI1/STAT3/PNKP/NCOR1/ENO1/NME2/DHTKD1/ARL2/CMPK1/OGT/EIF6/AK1/APP/BPGM/AK5/ENO3/RPTOR	55
BP	GO:0008154	actin polymerization or depolymerization	87/4813	192/18614	3.87E-09	7.08E+00	5.99E-08	PSTPIP2/BAG4/ARPC3/COTL1/VASP/HAX1/ADD1/MICAL1/SNX9/DIAPH3/CTTN/MLST8/CORO7/CFL1/NCK1/CAPZB/ARPC4/CIT/MTPN/ADD3/HIP1R/WIPF1/GSN/PIK3R2/TMSB10/ARF6/TMSB4X/SVIL/CAPZA1/SPTBN4/NCKAP1/SPTBN1/ARPC5/MICAL2/WASL/BRK1/BAIAP2/ENAH/RDX/SPTAN1/TWF1/MTOR/TWF2/ARHGAP35/ARPC5L/TTC17/ARHGAP18/PPP1R9B/ABI1/PFN1/ARPC2/TRIOBP/DIAPH2/FLII/RHOA/DIAPH1/PFN2/CYFIP2/CFL2/MYADM/EPS8/LIMA1/RASA1/FCHSD2/WDR1/BIN1/SWAP70/GRB2/DLG1/ARFGEF1/CAPZA2/ABI2/CYFIP1/INF2/DSTN/SSH1/SH3BP1/TMOD3/RICTOR/SPTBN2/SPIRE1/LMOD1/FER/KANK1/BAIAP2L1/PRKCD/CORO1A	87
BP	GO:1904375	regulation of protein localization to cell periphery	64/4813	128/18614	3.89E-09	7.08E+00	6.00E-08	TGFB1/GPSM2/EPB41L2/ACSL3/HECTD1/EPHB2/APPL1/PTPN9/PRNP/CLN3/ITGB1/RER1/PPFIA1/ATP2B4/STX8/MMP14/ADAM10/BCL2L1/TMBIM1/RAP1A/DAB2/ATP2C1/STX7/PIK3R2/ARF6/LZTFL1/LYPLA1/AP2M1/PICALM/NUMB/CSK/SPTBN1/LRP1/CLTC/PGRMC1/PPP1R9B/AKT1/PRKCI/VTI1B/ITGA3/EGFR/LGALS3/CDK5/DAG1/KIF5B/RANGRF/VPS4A/NUMA1/GBP1/STX4/GPC6/OGT/DLG1/RHOG/EPHA2/SQSTM1/PLS1/ACTB/EZR/ZDHHC5/HRAS/PLK1/GRIPAP1/TMEM59	64
BP	GO:0046031	ADP metabolic process	51/4813	94/18614	4.18E-09	7.05E+00	6.42E-08	HIF1A/SLC4A4/PRKAG2/BAD/PKM/PGK1/FOXK1/PRKAG1/OGDH/PFKL/HK2/PGAM1/MLST8/PRKAA1/ENO2/NT5E/TIGAR/AK4/FOXK2/ZBTB7A/PGM1/TREX1/GIT1/GALK1/ADPGK/LDHA/ALDOC/GPI/MTOR/HK1/PFKP/GAPDH/AK2/PFKM/ALDOA/TPI1/STAT3/NCOR1/ENO1/DHTKD1/ARL2/OGT/AK3/EIF6/AK1/APP/BPGM/NUDT9/AK5/ENO3/RPTOR	51
BP	GO:2000573	positive regulation of DNA biosynthetic process	43/4813	74/18614	4.19E-09	7.05E+00	6.42E-08	MAP3K4/CCT4/MAPK3/GINS1/GREM1/DKC1/PRKD2/CHTF18/HSP90AA1/RFC2/CCT3/AURKB/GFER/NVL/POT1/NAF1/PDGFRB/RFC4/SRC/CCT5/CTNNB1/CCT7/TCP1/PTGES3/GINS4/HSP90AB1/CCT8/PARN/CCT2/RFC5/ATM/PCNA/CCT6A/MAPK1/PNKP/XRCC5/NEK7/FGF2/GINS3/RFC3/ATR/WRAP53/GINS2	43
BP	GO:0061157	mRNA destabilization	62/4813	123/18614	4.52E-09	7.02E+00	6.90E-08	ZFP36L1/CNOT4/DCP1B/EXOSC5/ROCK1/CNOT10/SAMD4B/FTO/ROCK2/IGF2BP1/DIS3/PNPT1/EXOSC2/RC3H2/NT5C3B/EXOSC8/POLR2G/LSM1/EXOSC7/CNOT7/MEX3D/CNOT2/PUM1/DIS3L2/YTHDF3/HNRNPD/DHX36/ZFP36L2/TNKS1BP1/MOV10/AGO2/CSDE1/PARN/POLR2D/METTL14/GIGYF2/SYNCRIP/TARDBP/DCP1A/UPF1/PDE12/DCPS/CNOT1/CNOT3/METTL3/PAIP1/YBX1/HNRNPU/DHX9/TNRC6B/KHSRP/YTHDF2/PATL1/CELF1/CNOT11/EXOSC3/MLH1/YTHDF1/EIF4ENIF1/EXOSC9/SAMD4A/PAN2	62
BP	GO:0009124	nucleoside monophosphate biosynthetic process	29/4813	42/18614	5.41E-09	6.95E+00	8.23E-08	DGUOK/UMPS/IMPDH1/PPAT/ADSL/TK1/SHMT1/ADK/PRPS2/APRT/UCK2/GART/ADA/ATIC/NUDT2/IMPDH2/HPRT1/DUT/PFAS/DCK/GMPS/PAICS/CMPK1/AMPD2/CAD/PRPS1/TYMS/UPP1/UCKL1	29
BP	GO:0019079	viral genome replication	64/4813	129/18614	5.78E-09	6.92E+00	8.74E-08	TARBP2/ATG16L1/PPID/EIF2AK4/FAM111A/PPIE/SETDB1/PIK3C3/TMEM41B/EIF2AK2/HACD3/CTBP2/LAMTOR5/PKN2/HMGA2/STOM/TOP2B/N4BP1/HTATSF1/CCNK/CNOT7/APOBEC3B/IFI16/NUCKS1/INPP5K/MAVS/LARP1/PCBP2/VCP/TRIM28/SMARCB1/SRPK1/ADAR/PPIH/EEF1A1/VAPA/CTBP1/DDX56/OAS3/BANF1/PPIA/PPIB/ILF3/PCBP1/RAD23A/HSPA8/STAU1/CXCL8/IFIT5/DDB1/ZC3HAV1/PDE12/VAPB/ATG5/GAS6/IFIT1/TOP2A/FMR1/MPHOSPH8/YTHDC2/ISG15/DEK/TNIP1/SRPK2	64
BP	GO:0042542	response to hydrogen peroxide	64/4813	129/18614	5.78E-09	6.92E+00	8.74E-08	SIGMAR1/BAD/AIFM1/FOSL1/STK26/CRYAB/AXL/FOXP1/PRKAA1/MET/SDC1/ECT2/HSF1/TXNIP/HDAC6/MAPK7/SLC8A1/PDGFRB/TXN/SIRT1/IMPACT/CASP3/RELA/SRC/NQO1/HBA1/GPX1/HDAC2/PYCR1/STAT6/UBE3A/ADAM9/PRDX3/TRAP1/CRK/RIPK1/PDCD10/HMOX1/APEX1/PCNA/PAWR/STK24/RPS3/STAT1/PARK7/SOD2/CAPN2/PPIF/CAT/CDK1/MMP2/ANXA1/DDR2/SOD1/FXN/PPP2CB/BAK1/EZH2/COL1A1/BNIP3/ZNF277/BECN1/SPHK1/PRKCD	64
BP	GO:0010821	regulation of mitochondrion organization	72/4813	151/18614	5.94E-09	6.91E+00	8.95E-08	HIF1A/VDAC1/PSMD10/MLLT11/BAD/TSPO/MYO19/TFRC/PISD/FIS1/HAX1/RHOT1/DDHD2/CTTN/GHITM/AURKA/BAX/MUL1/STAT2/TIGAR/BCL2L1/HDAC6/HIP1R/NOL3/FBXO7/RALA/BNIP3L/MCU/DNM1L/GPX1/FKBP8/NMT1/BID/PDCD5/CSNK2A2/RAP1GDS1/FAM162A/VPS35/AKT1/SSBP1/HUWE1/LMNA/ACAA2/GSK3A/GSK3B/PARK7/SLC25A5/SLC25A4/MFF/VAT1/GCLC/PGAM5/MTCH2/SLC35F6/HTRA2/OPA1/SLC25A6/PPIF/GOLPH3/RHOT2/PLAUR/TSC2/INF2/SQSTM1/VPS13C/HTT/FXN/VPS13D/BAK1/SPIRE1/BNIP3/TRIAP1	72
BP	GO:1903241	U2-type prespliceosome assembly	20/4813	24/18614	5.98E-09	6.91E+00	8.98E-08	PHF5A/SNRPB2/HTATSF1/SNRPE/SNRPA1/SNRPD3/SNRPD1/SF3B2/SF3B4/SF3B6/SF3A2/SF3B3/SF3A1/SF3B1/DDX46/SF3B5/SNRPD2/SF3A3/SNRPF/SNIP1	20
BP	GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	27/4813	38/18614	6.86E-09	6.85E+00	1.03E-07	TSR2/MRPS11/DCAF13/RPS16/PWP2/NGDN/UTP20/NOP9/NOL10/DHX37/BMS1/TBL3/RPS19/RRS1/RPS14/RPS8/WDR46/HEATR1/TSR1/RPS21/WDR43/ERCC2/BYSL/UTP6/RPP40/UTP3/RCL1	27
BP	GO:0006289	nucleotide-excision repair	47/4813	85/18614	7.45E-09	6.81E+00	1.11E-07	SMARCD1/ERCC5/COMMD1/RPA3/RAD23B/SMARCD2/GTF2H1/ERCC4/CETN2/LIG4/USP7/PBRM1/MNAT1/DPF2/ARID1B/SIRT1/ATXN3/ERCC3/SMARCB1/SMARCD3/MMS19/ACTL6A/RAD23A/SMARCE1/ARID1A/POLD1/DDB1/ARID2/CUL4A/PNKP/RPA2/SMARCC2/POLD3/ERCC2/POLR2I/SMARCC1/RPA1/ACTB/HMGN1/NTHL1/ERCC1/SMARCA4/XAB2/KAT7/PHF10/BCL7C/SMARCA2	47
BP	GO:0019068	virion assembly	26/4813	36/18614	7.50E-09	6.81E+00	1.12E-07	SPCS1/MVB12A/RAB1B/TSG101/CHMP5/VPS28/SNF8/RAB43/CHMP6/CHMP7/CHMP2B/RAB1A/NEDD4/CHMP4B/VPS4B/CHMP1A/PDCD6IP/LRSAM1/DDX6/VTA1/VPS37A/CHMP4A/VPS4A/PC/CHMP2A/CHMP3	26
BP	GO:0140056	organelle localization by membrane tethering	45/4813	80/18614	7.53E-09	6.81E+00	1.12E-07	VMP1/EXOC6B/EXOC8/RABEPK/CLN3/YKT6/EXOC4/CTBP2/STX8/PDZD8/CAV2/PACS2/VAMP3/RAB3A/STX7/STX5/STX12/RALB/EXOC3/STX6/USO1/EXOC2/STXBP1/TPRG1L/VPS11/ATP2A2/EXOC7/STXBP3/RAB3B/EXOC1/STX16/EXOC5/RAB8B/VPS18/RAB8A/VTI1B/RAB3D/SNAP29/VAPB/STX4/ESYT1/ESYT2/RAB13/SYT1/RAB12	45
BP	GO:0050779	RNA destabilization	63/4813	127/18614	7.63E-09	6.81E+00	1.13E-07	ZFP36L1/CNOT4/DCP1B/EXOSC5/ROCK1/CNOT10/SAMD4B/FTO/ROCK2/IGF2BP1/DIS3/PNPT1/EXOSC2/RC3H2/NT5C3B/EXOSC8/POLR2G/LSM1/EXOSC7/CNOT7/MEX3D/CNOT2/PUM1/DIS3L2/YTHDF3/HNRNPD/DHX36/ZFP36L2/ZC3H18/TNKS1BP1/MOV10/AGO2/CSDE1/PARN/POLR2D/METTL14/GIGYF2/SYNCRIP/TARDBP/DCP1A/UPF1/PDE12/DCPS/CNOT1/CNOT3/METTL3/PAIP1/YBX1/HNRNPU/DHX9/TNRC6B/KHSRP/YTHDF2/PATL1/CELF1/CNOT11/EXOSC3/MLH1/YTHDF1/EIF4ENIF1/EXOSC9/SAMD4A/PAN2	63
BP	GO:0005996	monosaccharide metabolic process	108/4813	256/18614	7.90E-09	6.80E+00	1.16E-07	IDS/PDK2/PCK2/ZMPSTE24/BAD/PKM/MDH1/MPI/SLC25A11/ARPP19/PGK1/NNMT/FOXK1/PFKL/HK2/FABP5/INPPL1/PRKAA1/PGD/SOGA1/SLC25A13/FUCA1/DCXR/ENO2/TIGAR/USP7/COX11/IGF2/PMM1/FOXK2/GDPGP1/IGFBP3/XYLB/CHST14/PGM1/SIRT1/DLAT/RPIA/GALE/PFKFB4/UXS1/G6PC3/FUCA2/PGM2L1/SLC25A12/GAA/GALK1/SRC/B4GALT1/FUT8/PMM2/CPT1A/GSTO1/G6PD/ADPGK/ALDOC/PGP/GOT1/SLC2A1/HEXB/SLC25A10/GPI/BRAT1/LCMT1/WDR5/PDHA1/SLC25A1/ACADM/NUDT5/PGM2/PDHB/HK1/PFKP/GAPDH/AKT1/MDH2/EPM2AIP1/SLC35A2/PFKM/MAN2B2/ALDOA/DDB1/SLC39A14/TPI1/AKT2/MAPK14/AKR1A1/POFUT1/GSK3A/ENO1/GCLC/SORD/MAN2B1/RANBP2/OGT/NR3C1/GLB1/NLN/MAN2A1/AKR1B1/POFUT2/ENO3/HEXA/GALM/H6PD/PHKG2/PC/FGGY	108
BP	GO:0034063	stress granule assembly	22/4813	28/18614	7.96E-09	6.79E+00	1.17E-07	GRB7/PRKAA1/EIF2S1/CIRBP/DYNC1H1/YTHDF3/RPS23/OGFOD1/G3BP1/CSDE1/DDX6/G3BP2/PRRC2C/ATXN2L/PUM2/ATXN2/TIA1/UBAP2L/YTHDF2/LSM14A/YTHDF1/BICD1	22
BP	GO:0007264	small GTPase mediated signal transduction	181/4813	483/18614	8.43E-09	6.77E+00	1.23E-07	RAB6C/APOC3/ARHGEF28/CCNA2/KSR1/RABIF/ARFGEF3/GPSM2/KIF14/IQSEC1/USP8/FLOT1/NF1/ARHGAP1/ROCK1/RAF1/ARAP1/MYO9B/NUCB1/ITSN1/DOCK5/EPHB2/GIT2/CHM/ARHGEF10/RACGAP1/SYDE1/RHOT1/MFN2/RB1/GDI2/RND3/MAPRE2/ROCK2/DOK1/ARHGEF1/MET/HACD3/ITGB1/WASF2/CFL1/ARHGEF18/STARD13/GNB1/CDK2/ECT2/ABR/RAB18/SIPA1/SRGAP2/GNA12/ARHGAP22/LZTR1/ARHGEF17/RAP1A/CHML/PDGFRB/ARFGEF2/CCDC88A/CDH13/ARHGAP31/GIT1/ARF6/RALA/SIPA1L3/GDI1/ARHGEF2/RAB9A/SRC/SOS1/DNMBP/KRAS/CD2AP/RALB/FGD4/GNA13/USO1/NCKAP1/NRP1/NOTCH2/RHOJ/RHEB/ARFIP2/BRK1/RASA3/RAB35/SDCBP/CRKL/GBF1/RDX/DOCK7/ARHGAP5/CBL/TAX1BP3/G3BP1/KPNB1/ARHGAP35/ARL3/CRK/TGFB2/TRIO/HMOX1/BCAR3/RIT1/SHOC2/ITGAV/NUCB2/CHP1/ARHGAP18/ARHGAP12/ARHGAP17/STAMBP/RHOC/DNAJA3/ITGA3/VAV2/RAP1B/SYNJ2BP/ARHGDIA/G3BP2/CUL3/RHOA/NISCH/RABL3/PARK7/DBNL/MAP4K4/RABGEF1/ARHGAP29/KANK2/EPS8/PHACTR4/RANGRF/PSD3/SWAP70/GRB2/RAB21/OGT/ARFGEF1/RUFY1/EPS8L2/NUP62/ARFGAP1/IQGAP3/DNM2/ABI2/BCR/RHOG/RHOT2/FGF2/TSC2/AKAP13/CYFIP1/CDC42/STMN1/SQSTM1/DHCR24/YWHAQ/SH3BP1/DOCK1/RGL2/ARHGEF12/HRAS/DOCK10/TGM2/DOCK6/RAPGEF2/ARHGAP11A/PPP2CB/ARHGEF40/RAP2B/SIPA1L1/CDC42SE1/RALGAPB/RAB12/ROBO1/CDKN1A/TNK2/KANK1/ARHGAP10/DENND4C	181
BP	GO:0030705	cytoskeleton-dependent intracellular transport	93/4813	212/18614	8.55E-09	6.76E+00	1.25E-07	HIF1A/CCDC186/KIF1C/F8A1/KIF3B/SUN1/AP3M1/MYO10/MYO19/KIFAP3/SNAPIN/AP3S1/MYO1B/RHOT1/PAFAH1B1/TMEM201/ACTR10/CLN3/TUBA1A/MYO1C/AP3D1/KIF4A/DYNC1H1/PURA/MAP1S/HDAC6/KIF13B/SPG7/MAP2/DYNC2H1/CCDC88A/STAU2/AP3M2/MYO6/TERF2/RAB1A/MYO5A/BLOC1S4/RAB6A/SUN2/HSPB1/SPG11/FLOT2/WASL/AP3B1/IFT27/IFT22/PEX14/ARL3/HOOK3/MAP1A/UCHL1/COPG1/TUBA1C/BAG3/DYNC1I2/HSPA8/PCM1/MAP1B/STAU1/LRPPRC/COPG2/KIF5B/RABGEF1/MYO1E/DST/RAB21/OPA1/BICD2/ACTN4/HNRNPU/RHOT2/SYNE2/APP/BLOC1S2/CDC42/SOD1/FYCO1/TUBB/LAMP1/ARMCX3/CEP131/KIF3A/CLUAP1/HTT/HSBP1/KIF13A/DYNC1I1/SPAST/BICD1/NDE1/IFT74/ARL8B	93
BP	GO:0018208	peptidyl-proline modification	31/4813	47/18614	8.88E-09	6.75E+00	1.29E-07	PPIL2/PPID/PPIE/EGLN1/PRDX4/PPIL3/PPWD1/P4HA2/FKBP1A/PPIL4/PPIL1/PPIG/FKBP10/CWC27/FKBP7/OGFOD1/PPIH/PIN1/P4HA1/PPIA/PPIB/CRTAP/FKBP11/NTMT1/P4HB/P4HTM/RANBP2/FKBP2/PPIF/NKTR/PPIC	31
BP	GO:0034599	cellular response to oxidative stress	119/4813	290/18614	9.81E-09	6.71E+00	1.41E-07	HIF1A/PDK2/SIGMAR1/MAPK3/PRKD1/AIFM1/MSRA/RWDD1/TSC1/STK26/VKORC1L1/AXL/CCS/FOXP1/PRKAA1/MET/EIF2S1/CHUK/PNPT1/ECT2/DHFR/HSF1/ABCD1/GFER/HDAC6/MAPK7/DIABLO/TXN/SIRT1/ARL6IP5/TREX1/IMPACT/NOL3/STAU2/RELA/FBXO7/NCOA7/SRC/FUT8/NQO1/PRDX5/SNCA/CTNNB1/G6PD/GPX1/HSPB1/HDAC2/PYCR1/STAT6/PRDX2/SLC7A11/KEAP1/PYCR2/PML/SIN3A/SRXN1/GPX8/PRDX3/ATP2A2/ABCC1/TRAP1/RIPK1/PDCD10/PPIA/NUDT2/HMOX1/APEX1/PXN/SLC25A24/PCNA/PAWR/AKT1/STK24/STAU1/RPS3/MAPK1/EGFR/GSR/SFPQ/LONP1/ROMO1/PRDX1/PARK7/PRKRA/P4HB/PTPRK/MGST1/UBQLN1/NONO/SOD2/STX4/HTRA2/PPIF/VRK2/CAT/AIFM2/LANCL1/CDK1/PARP1/MMP2/ANXA1/DDR2/SOD1/AKR1C3/TPM1/PKD2/FXN/EZH2/ZNF622/FER/BNIP3/ZNF277/SIRT2/BECN1/SPHK1/DAPK1/JUN/PRKCD/BAG5	119
BP	GO:1905475	regulation of protein localization to membrane	80/4813	175/18614	9.88E-09	6.71E+00	1.41E-07	TGFB1/SLC5A3/CD81/ACSL3/HECTD1/EPHB2/APPL1/PTPN9/FIS1/PRNP/MTCL1/CLN3/ITGB1/MYO1C/RER1/PPFIA1/ATP2B4/STX8/MMP14/ADAM10/BCL2L1/TMBIM1/RAP1A/STOM/DAB2/ATP2C1/GSN/STX7/PIK3R2/ARF6/GDI1/LZTFL1/INPP5K/LYPLA1/AP2M1/PICALM/NUMB/CSK/SPTBN1/SLC7A11/LRP1/CRKL/CLTC/NMT1/PGRMC1/PDCD5/CHP1/PPP1R9B/AKT1/PRKCI/VTI1B/ITGA3/EGFR/LGALS3/CDH2/TCAF1/AKT2/CDK5/DAG1/KIF5B/MFF/RANGRF/VPS4A/GBP1/STX4/GPC6/OGT/DLG1/RHOG/EPHA2/SQSTM1/PLS1/ACTB/EZR/ZDHHC5/HRAS/GPC1/CRIPT/GRIPAP1/TMEM59	80
BP	GO:0043628	regulatory ncRNA 3'-end processing	17/4813	19/18614	9.89E-09	6.71E+00	1.41E-07	EXOSC5/FBL/DKC1/EXOSC2/EXOSC8/FBLL1/EXOSC4/EXOSC7/EXOSC6/EXOSC10/ERI3/LARP7/PARN/RPS21/EXOSC3/ERI1/EXOSC9	17
BP	GO:0090670	RNA localization to Cajal body	17/4813	19/18614	9.89E-09	6.71E+00	1.41E-07	CCT4/DKC1/NHP2/CCT3/NAF1/CCT5/EXOSC10/CCT7/TCP1/RUVBL2/RUVBL1/NOP10/CCT8/PARN/CCT2/CCT6A/WRAP53	17
